author;author_type;url;location;deal_type;accommodation_type;floor;floors_count;rooms_count;total_meters;price;district;street;house_number;underground;residential_complex
Среда;developer;https://www.cian.ru/sale/flat/304434864/;Москва;sale;flat;8;30;2;56.31;23943012;Кунцево;48-й кв-л;;Кунцевская;Кутузовский Квартал ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050405/;Москва;sale;flat;7;9;2;108.3;169000000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Лофт Инвест;real_estate_agent;https://www.cian.ru/sale/flat/303620086/;Москва;sale;flat;16;16;1;19.5;6290000;Отрадное;Алтуфьевское шоссе;2;Владыкино;
Sminex;developer;https://www.cian.ru/sale/flat/293713880/;Москва;sale;flat;2;14;2;85.6;168270000;Якиманка;;;Боровицкая;Лаврушинский ЖК
ID 118500316;homeowner;https://www.cian.ru/sale/flat/304242702/;Москва;sale;flat;19;41;2;55.0;28500000;Раменки;1-й Сетуньский проезд;вл6;Кутузовская;Hide
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/303790635/;Москва;sale;flat;10;15;1;38.3;8950000;Крюково;Зеленоград;к2033;Зеленоград — Крюково;
MR Group;developer;https://www.cian.ru/sale/flat/304294682/;Москва;sale;flat;2;46;2;63.78;30642834;Даниловский;Дубининская ;59А;Серпуховская;Павелецкая Сити
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303439862/;Москва;sale;flat;3;10;2;90.0;37900000;Басманный;Нижняя Красносельская ;35С48;Бауманская;TriBeCa APARTMENTS
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/303215920/;Москва;sale;flat;4;9;2;50.0;14900000;Очаково-Матвеевское;Большая Очаковская ;21;Очаково;
MR Group;developer;https://www.cian.ru/sale/flat/300287890/;Москва;sale;flat;5;43;2;57.89;27611151;Савеловский;2-я Хуторская ;34;Дмитровская;SYMPHONY 34
САДОВЫЕ КВАРТАЛЫ;real_estate_agent;https://www.cian.ru/sale/flat/304330116/;Москва;sale;flat;7;14;2;95.0;190000000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Ксения Шахматова;realtor;https://www.cian.ru/sale/flat/301314393/;Москва;sale;flat;5;9;2;40.0;14290000;Южное Тушино;Химкинский бульвар;1;Сходненская;
MR Group;developer;https://www.cian.ru/sale/flat/298278959/;Москва;sale;flat;2;37;2;64.3;41616568;Беговой;Ленинградский проспект;вл8;Белорусская;Slava
ID 85604823;unknown;https://www.cian.ru/sale/flat/304490404/;Москва;sale;flat;38;51;2;64.0;38000000;Пресненский;Шмитовский проезд;39к1;Шелепиха;Headliner
Никита Гаврилов;realtor;https://www.cian.ru/sale/flat/303358076/;Москва;sale;flat;10;14;2;55.0;15950000;Братеево;Паромная ;7К3;Алма-Атинская;
Tekta Group;developer;https://www.cian.ru/sale/flat/301260478/;Москва;sale;flat;5;27;2;40.5;24036750;Даниловский;;1;Павелецкая;Эра ЖК
FIVE;real_estate_agent;https://www.cian.ru/sale/flat/302240561/;Москва;sale;flat;16;78;2;92.0;76000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Дмитрий Воронин;realtor;https://www.cian.ru/sale/flat/304297549/;Москва;sale;flat;7;15;2;51.6;16400000;; Василия Ощепкова;4;Коммунарка;Москвичка
Мангазея;developer;https://www.cian.ru/sale/flat/301581592/;Москва;sale;flat;9;21;2;74.2;36238909;Щукино;Щукинская ;;Щукинская;Интонация
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/301407636/;Москва;sale;flat;21;22;1;38.5;13999000;Южное Тушино;бульвар Яна Райниса;45К2;Сходненская;
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/303801019/;Москва;sale;flat;13;14;1;40.3;8400000;; Гренадерская;9к3;Ольховая;Новые Ватутинки, мкр. Десна
ANT Development;developer;https://www.cian.ru/sale/flat/303519421/;Москва;sale;flat;2;10;2;59.8;66618396;Дорогомилово;;3к8;Поклонная;Виктори Парк Резиденсез ЖК
Ирина Савельева;realtor;https://www.cian.ru/sale/flat/297485415/;Москва;sale;flat;10;17;2;38.0;10310000;; Бачуринская;13;Бачуринская;Новая Звезда
OPN PARTNER;real_estate_agent;https://www.cian.ru/sale/flat/303116228/;Москва;sale;flat;5;22;1;41.0;11200000;Бирюлево Восточное;6-я Радиальная ;7/1к2;Царицыно;Царицыно-2
Главстрой;developer;https://www.cian.ru/sale/flat/296921092/;Москва;sale;flat;2;18;2;74.6;30350099;Филевский парк;Береговой проезд;2;Народное Ополчение;Береговой-2
Новый адрес;real_estate_agent;https://www.cian.ru/sale/flat/281206289/;Москва;sale;flat;11;14;2;54.0;13000000;; Логинова;5к2;Щербинка;Остафьево
SITRealty;real_estate_agent;https://www.cian.ru/sale/flat/303560811/;Москва;sale;flat;4;7;1;40.0;9650000;; Медовая Долина;2;Санино;Баркли Медовая долина
Sense Development;developer;https://www.cian.ru/sale/flat/300501957/;Москва;sale;flat;7;13;2;64.9;35782232;Даниловский;Подольское шоссе;3;Тульская;Logos
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/303387198/;Москва;sale;flat;18;22;1;30.0;11700000;;бульвар Андрея Тарковского;11;Рассказовка;Рассказово
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303804363/;Москва;sale;flat;9;9;2;56.3;17990000;Филевский парк;Новозаводская ;2к8А;Фили;
EraOneHolding;developer;https://www.cian.ru/sale/flat/284404561/;Москва;sale;flat;8;8;2;121.2;159473684;Арбат; Арбат;24;Смоленская;Turandot Residences
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/304323178/;Москва;sale;flat;9;14;2;55.2;11800000;; Гренадерская;9к1;Ольховая;Новые Ватутинки, мкр. Десна
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303866591/;Москва;sale;flat;4;5;2;42.8;11190000;Новогиреево;Мартеновская ;16/36;Новогиреево;
PIONEER;developer;https://www.cian.ru/sale/flat/301513284/;Москва;sale;flat;4;22;2;47.2;24921930;Марьина роща;Полковая ;1С12;Савёловская;PRIDE
Новые Ватутинки;real_estate_agent;https://www.cian.ru/sale/flat/303776065/;Москва;sale;flat;4;16;2;59.8;13300000;; Гренадерская;9к3;Ольховая;Новые Ватутинки, мкр. Десна
Life Style;real_estate_agent;https://www.cian.ru/sale/flat/301907258/;Москва;sale;flat;2;12;1;38.7;10500000;Строгино; Исаковского;2К1;Мякинино;
ANT Development;developer;https://www.cian.ru/sale/flat/303519450/;Москва;sale;flat;22;34;2;50.6;59236384;Дорогомилово;Поклонная ;9;Поклонная;Поклонная 9
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/304519685/;Москва;sale;flat;39;41;2;56.9;40000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
Виктория Яковлева;realtor;https://www.cian.ru/sale/flat/303827859/;Москва;sale;flat;2;9;2;48.0;14990000;Северное Тушино; Героев Панфиловцев;3К1;Сходненская;
MR Group;developer;https://www.cian.ru/sale/flat/302792260/;Москва;sale;flat;4;13;2;85.76;108088817;Мещанский;Садовая-Сухаревская ;14;Цветной бульвар;Клубный дом Forum
ID 112591621;homeowner;https://www.cian.ru/sale/flat/301839935/;Москва;sale;flat;13;45;2;51.0;31500000;Дорогомилово;Кутузовский проезд;16А/1;Деловой центр;River Park Кутузовский
Алина Валиуллина;realtor;https://www.cian.ru/sale/flat/304000697/;Москва;sale;flat;5;12;2;52.0;28900000;Мещанский;переулок Васнецова;3;Цветной бульвар;
Tekta Group;developer;https://www.cian.ru/sale/flat/303224329/;Москва;sale;flat;7;34;2;41.4;21296160;Обручевский;;;Воронцовская;Эвер ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/302544975/;Москва;sale;flat;19;41;1;47.6;42000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
СОВКОМБАНК;official_representative;https://www.cian.ru/sale/flat/297233032/;Москва;sale;flat;12;12;1;39.0;9700000;Гольяново;Уральская ;1;Щёлковская;
Пионер;developer;https://www.cian.ru/sale/flat/301459888/;Москва;sale;flat;6;18;2;48.4;36526254;Донской;2-й Донской проезд;10;Ленинский проспект;SHIFT
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303753500/;Москва;sale;flat;3;5;2;69.3;52000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ID 103843695;homeowner;https://www.cian.ru/sale/flat/304422505/;Москва;sale;flat;2;9;2;44.7;17400000;Останкинский; Академика Королева;9К2;Улица Академика Королёва;
MR Group;developer;https://www.cian.ru/sale/flat/304208103/;Москва;sale;flat;22;54;2;61.18;30473758;Хорошево-Мневники;;;Полежаевская;Джойс ЖК
Century 21 Street Realty;real_estate_agent;https://www.cian.ru/sale/flat/295800676/;Москва;sale;flat;4;17;2;44.5;39500000;Пресненский;Звенигородское шоссе;11;Улица 1905 года;Дизайнерский дом Eleven
ЖИR Private;real_estate_agent;https://www.cian.ru/sale/flat/304047792/;Москва;sale;flat;13;24;1;42.0;11000000;Люблино;Люблинская ;76к4;Перерва;Люблинский парк
Ташир;developer;https://www.cian.ru/sale/flat/264100219/;Москва;sale;flat;28;32;2;78.1;32145960;Черемушки;Херсонская ;43к5;Зюзино;ONYX Deluxe
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301565559/;Москва;sale;flat;5;21;2;117.0;115000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
BERI;real_estate_agent;https://www.cian.ru/sale/flat/303817562/;Москва;sale;flat;3;9;2;47.0;12490000;Орехово-Борисово Южное;Домодедовская ;33;Домодедовская;
Tekta Group;developer;https://www.cian.ru/sale/flat/301259751/;Москва;sale;flat;23;42;2;41.6;25837760;Котловка;Севастопольский проспект;22А;Нагорная;Eniteo
Arkhipov team;real_estate_agent;https://www.cian.ru/sale/flat/303876415/;Москва;sale;flat;5;9;2;57.0;108900000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
One Moscow;real_estate_agent;https://www.cian.ru/sale/flat/302728199/;Москва;sale;flat;5;17;2;55.9;17900000;Отрадное;Нововладыкинский проезд;1к3;Окружная;Поколение
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040420/;Москва;sale;flat;4;6;2;74.91;142778460;Замоскворечье;Космодамианская набережная;4/22С8;Новокузнецкая;Клубный дом Космо 4/22
SHOW ME;real_estate_agent;https://www.cian.ru/sale/flat/272003903/;Москва;sale;flat;5;6;2;43.0;27500000;Беговой; 3-я Ямского Поля;9;Белорусская;Art Residence
Космополис;real_estate_agent;https://www.cian.ru/sale/flat/304517600/;Москва;sale;flat;12;12;2;45.6;9750000;Бибирево;Белозерская ;1А;Алтуфьево;
Hutton Development;developer;https://www.cian.ru/sale/flat/303616433/;Москва;sale;flat;5;6;2;75.6;181440000;Якиманка;Софийская набережная;34С3;Новокузнецкая;Клубный дом DUO
Бюро Эстейт Городская недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/301212653/;Москва;sale;flat;2;24;2;57.4;26000000;Хорошево-Мневники;Шелепихинская набережная;40к2;Шелепиха;Sydney City
Trinity;real_estate_agent;https://www.cian.ru/sale/flat/304453190/;Москва;sale;flat;5;12;1;37.8;12300000;Царицыно; Бехтерева;43К2;Царицыно;
Tekta Group;developer;https://www.cian.ru/sale/flat/303506169/;Москва;sale;flat;3;22;2;39.9;17288670;Нагорный;;1;Нагорная;Твелв ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/300942839/;Москва;sale;flat;2;7;2;82.6;38000000;Беговой;Ленинградский проспект;15С28;Белорусская;Bolshevik
Century 21 Level;real_estate_agent;https://www.cian.ru/sale/flat/303116161/;Москва;sale;flat;7;9;2;43.0;11950000;;проспект Магеллана;2;Прокшино;Испанские кварталы
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516517/;Москва;sale;flat;2;11;2;47.0;24769000;;;В14 кв-л;Павшино;Сберсити ЖК
Villagio Realty;real_estate_agent;https://www.cian.ru/sale/flat/303902201/;Москва;sale;flat;17;24;2;45.0;37000000;Хорошевский;Хорошевское шоссе;25Ак2;Полежаевская;Династия
ID 96167522;realtor;https://www.cian.ru/sale/flat/296746930/;Москва;sale;flat;1;9;1;34.9;6854250;Люблино; Верхние Поля;27С2;Братиславская;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040442/;Москва;sale;flat;2;6;2;102.4;98201600;Арбат;Поварская ;8/1к1;Арбатская;De Luxe квартал апартаментов 
White and Broughton;real_estate_agent;https://www.cian.ru/sale/flat/304381579/;Москва;sale;flat;5;41;1;40.2;34000000;Хорошевский;Ленинградский проспект;37/5;Аэропорт;Прайм Парк
ALFA real estate;real_estate_agent;https://www.cian.ru/sale/flat/300967746/;Москва;sale;flat;6;24;2;40.0;16500000;Митино;Муравская ;46к3;Пятницкое шоссе;Эко-квартал Аквилон Митино
Absolute Premium;developer;https://www.cian.ru/sale/flat/304065659/;Москва;sale;flat;4;17;2;49.8;53567000;Хамовники;;;Воробьёвы горы;Коллекция Лужники ЖК
Ашихмин и партнёры;real_estate_agent;https://www.cian.ru/sale/flat/304419580/;Москва;sale;flat;5;14;2;79.1;118650000;Замоскворечье;Космодамианская набережная;4/22кБ;Новокузнецкая;
Marry Lane Group;real_estate_agent;https://www.cian.ru/sale/flat/303980600/;Москва;sale;flat;4;10;2;44.3;34000000;Беговой; 1-я Ямского Поля;1к1;Белорусская;Slava
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/304172962/;Москва;sale;flat;4;7;2;66.2;25745180;;;В17 кв-л;Опалиха;Сберсити ЖК
Point Estate Город;real_estate_agent;https://www.cian.ru/sale/flat/301035843/;Москва;sale;flat;3;7;2;99.0;80000000;Басманный;Гороховский переулок;12;Курская;Гороховский 12
Smolenka Estate;real_estate_agent;https://www.cian.ru/sale/flat/299672730/;Москва;sale;flat;8;9;2;60.7;77089000;Тверской;1-я Тверская-Ямская ;2;Маяковская;Vesper Tverskaya
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/299934989/;Москва;sale;flat;4;13;2;81.26;34421736;;;В21 кв-л;Опалиха;Сберсити ЖК
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/301258691/;Москва;sale;flat;2;21;2;57.23;59000000;Пресненский;2-я Звенигородская ;16;Улица 1905 года;Lucky
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/293721204/;Москва;sale;flat;3;13;2;82.36;44400276;;;В20 кв-л;Павшино;Сберсити ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/294872333/;Москва;sale;flat;17;18;2;117.0;179000000;Пресненский;2-я Звенигородская ;11;Улица 1905 года;Резиденция МОНЭ
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/300701528/;Москва;sale;flat;11;41;2;67.1;33000000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
VESPER;developer;https://www.cian.ru/sale/flat/287317369/;Москва;sale;flat;5;21;1;65.9;78259545;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/302177521/;Москва;sale;flat;3;15;2;58.54;65000000;Пресненский; Костикова;4к4;Улица 1905 года;Lucky
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/301365561/;Москва;sale;flat;7;78;2;95.0;60000000;Пресненский;1-й Красногвардейский проезд;22с2;Москва-Сити;NEVA TOWERS
Рублево-Архангельское;developer;https://www.cian.ru/sale/flat/298516183/;Москва;sale;flat;2;12;2;85.94;38612842;;;В19 кв-л;Павшино;Сберсити ЖК
ZIP Realty;real_estate_agent;https://www.cian.ru/sale/flat/301986538/;Москва;sale;flat;13;20;2;111.0;69900000;Раменки;Мичуринский проспект;3;Ломоносовский проспект;Квартал Шуваловский
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/302203106/;Москва;sale;flat;8;19;1;30.8;20400000;Беговой;Ленинградский проспект;29к3;Динамо;Царская площадь
Основа;developer;https://www.cian.ru/sale/flat/304382429/;Москва;sale;flat;2;28;2;41.3;16726500;Хорошево-Мневники;;;Полежаевская;Эмоушен ЖК
ZAPAD REALTY - офис Маршала Жукова;real_estate_agent;https://www.cian.ru/sale/flat/303919506/;Москва;sale;flat;22;43;1;44.0;29300000;Хорошево-Мневники;Шелепихинская набережная;34к6;Шелепиха;Сердце Столицы
ID 19625771;realtor;https://www.cian.ru/sale/flat/304449900/;Москва;sale;flat;16;22;2;46.0;24000000;Хорошево-Мневники; Нижние Мневники;;Мнёвники;Остров
Пионер;developer;https://www.cian.ru/sale/flat/301459955/;Москва;sale;flat;4;11;2;85.3;70625414;Даниловский;;;Павелецкая;Опус ЖК
Whitewill Москва-Сити;real_estate_agent;https://www.cian.ru/sale/flat/299330003/;Москва;sale;flat;63;66;1;86.0;96000000;Пресненский;1-й Красногвардейский проезд;22;Деловой центр;NEVA TOWERS
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303753508/;Москва;sale;flat;37;37;1;48.0;42000000;Хорошевский;Ленинградский проспект;37/6;Аэропорт;Прайм Парк
MR Group;developer;https://www.cian.ru/sale/flat/295072445/;Москва;sale;flat;33;57;2;56.77;33678803;Филевский парк;;;Фили;Фили Сити ЖК
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/301782648/;Москва;sale;flat;10;21;1;65.0;65000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
ID 109135729;realtor;https://www.cian.ru/sale/flat/304330216/;Москва;sale;flat;3;21;2;58.54;61000000;Пресненский; Костикова;4к1;Улица 1905 года;Lucky
FORMA;developer;https://www.cian.ru/sale/flat/303018405/;Москва;sale;flat;18;33;2;46.45;41753905;Пресненский;к2.3;к2.3;Белорусская;Репаблик ЖК
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/304178493/;Москва;sale;flat;7;20;2;59.4;28990000;Хорошево-Мневники;к2/1;к2/1;Хорошёво;Сидней Сити ЖК
BERI;real_estate_agent;https://www.cian.ru/sale/flat/300568239/;Москва;sale;flat;3;5;2;46.7;11990000;Новогиреево;Мартеновская ;20;Новогиреево;
Киноцентр;developer;https://www.cian.ru/sale/flat/302253810/;Москва;sale;flat;7;20;2;54.85;54795150;Пресненский;Дружинниковская ;15;Краснопресненская;SkyView
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/298050415/;Москва;sale;flat;11;13;2;83.0;98900000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
Бест офис на Таганской;real_estate_agent;https://www.cian.ru/sale/flat/303627577/;Москва;sale;flat;5;14;2;51.4;14200000;Южное Тушино; Свободы;40К1;Сходненская;
Стадион Спартак;developer;https://www.cian.ru/sale/flat/298406172/;Москва;sale;flat;4;13;2;66.7;32609630;Покровское-Стрешнево;Северо-Западный ао;;Спартак;Клубный Город на Реке Примавера ЖК
BARNES International Realty;real_estate_agent;https://www.cian.ru/sale/flat/289779246/;Москва;sale;flat;30;37;2;69.5;40000000;Хорошево-Мневники;Шелепихинская набережная;34к1зд4;Шелепиха;Сердце Столицы
PROНЕДВИЖИМОСТЬ;real_estate_agent;https://www.cian.ru/sale/flat/303779112/;Москва;sale;flat;16;17;1;38.2;9400000;Орехово-Борисово Южное;Гурьевский проезд;31К2;Зябликово;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/303040534/;Москва;sale;flat;3;8;2;75.2;50308800;Замоскворечье;Шлюзовая набережная;2/1С1;Павелецкая;Элитный жилой комплекс 
Ramenky Realty;real_estate_agent;https://www.cian.ru/sale/flat/304330059/;Москва;sale;flat;9;14;2;99.71;118450000;Хамовники; Усачева;15А;Спортивная;Садовые кварталы
ID 100604708;homeowner;https://www.cian.ru/sale/flat/303934208/;Москва;sale;flat;3;17;2;51.0;23200000;Филевский парк; Василисы Кожиной;14К2;Багратионовская;
COLDY;developer;https://www.cian.ru/sale/flat/303330147/;Москва;sale;flat;6;15;2;54.39;45517344;Даниловский; Серпуховский Вал;7с16;Тульская;Дом 7 Даниловский
ФСК Агент;real_estate_agent;https://www.cian.ru/sale/flat/300074305/;Москва;sale;flat;5;38;1;39.8;20000000;Останкинский; Вильгельма Пика;;Ботанический сад;Режиссёр
ID 96167522;realtor;https://www.cian.ru/sale/flat/301361857/;Москва;sale;flat;5;9;1;29.5;6688500;Люблино; Верхние Поля;27С2;Братиславская;
COLDY;developer;https://www.cian.ru/sale/flat/297997312/;Москва;sale;flat;2;14;2;147.05;303725598;Хамовники;переулок 1-й Тружеников;12;Киевская;Хамовники 12
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303137027/;Москва;sale;flat;2;5;2;106.0;160000000;Тверской;Никольская ;10;Площадь Революции;St. Nickolas
Екатерина Боброва;realtor;https://www.cian.ru/sale/flat/303375655/;Москва;sale;flat;10;12;1;38.0;15950000;КРАСИВАЯ квартира в шикарном е1-комн. квартира;38 м²;;;
Галс-Девелопмент;developer;https://www.cian.ru/sale/flat/304455389/;Москва;sale;flat;6;23;2;67.7;31074300;Басманный; Фридриха Энгельса;56;Бауманская;Премиум-квартал 
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/299509241/;Москва;sale;flat;24;24;2;57.4;39000000;Хорошево-Мневники;Шелепихинская набережная;34к3зд7;Шелепиха;Сердце Столицы
Этажи Москва;real_estate_agent;https://www.cian.ru/sale/flat/302375319/;Москва;sale;flat;4;7;1;36.8;8500000;;;;Санино;Квартал Западный ЖК
Regions Development;developer;https://www.cian.ru/sale/flat/304060514/;Москва;sale;flat;2;23;2;72.1;;Нагатинский затон;проспект Андропова;9/1к2;Технопарк;Dream Towers
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/304106467/;Москва;sale;flat;4;4;2;51.1;37000000;Хорошевский;Ленинградский проспект;37/7;Аэропорт;Прайм Парк
BERI;real_estate_agent;https://www.cian.ru/sale/flat/301596332/;Москва;sale;flat;4;5;2;53.9;19990000;Ломоносовский; Строителей;5К4;Университет;
EraOneHolding;developer;https://www.cian.ru/sale/flat/280427150/;Москва;sale;flat;3;5;2;178.6;150400000;Арбат; Арбат;39;Смоленская;Artisan
NF Group - ex-Knight Frank;real_estate_agent;https://www.cian.ru/sale/flat/303071841/;Москва;sale;flat;19;32;1;32.2;25000000;Пресненский;Шмитовский проезд;39к2;Шелепиха;Headliner
GRAND ESTATE - Премиальная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/302998801/;Москва;sale;flat;9;9;2;46.0;27600000;Хамовники;3-я Фрунзенская ;17;Спортивная;
Sminex;developer;https://www.cian.ru/sale/flat/304423951/;Москва;sale;flat;2;23;2;56.0;56130000;Пресненский;;;Улица 1905 года;Лайф Тайм ЖК
Novel Estates;real_estate_agent;https://www.cian.ru/sale/flat/304063027/;Москва;sale;flat;2;16;2;60.0;36500000;Хамовники;Фрунзенская набережная;50;Спортивная;
CENTURY 21 Столичная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/304323189/;Москва;sale;flat;4;25;1;42.2;9000000;; Бианки;6к2;Рассказовка;
MR Group;developer;https://www.cian.ru/sale/flat/294196808/;Москва;sale;flat;33;41;2;75.2;38352000;Филевский парк;Багратионовский проезд;5Ак1;Фили;Filicity
Whitewill;real_estate_agent;https://www.cian.ru/sale/flat/303337092/;Москва;sale;flat;3;7;2;91.2;80000000;Басманный;Гороховский переулок;12с5;Курская;Гороховский 12
Homeapp;real_estate_agent;https://www.cian.ru/sale/flat/299093726/;Москва;sale;flat;4;4;1;39.9;11600000;Южное Тушино;Окружная ;2;Трикотажная;
GloraX;developer;https://www.cian.ru/sale/flat/303476998/;Москва;sale;flat;3;21;2;75.3;38089999;Беговой; 1-я Ямского Поля;28С3;Белорусская;GloraX Premium Белорусская
MHEstate - Элитная недвижимость;real_estate_agent;https://www.cian.ru/sale/flat/303820905/;Москва;sale;flat;10;14;1;65.2;35000000;Мещанский; Гиляровского;50;Проспект Мира;
do A.S.A.P.;real_estate_agent;https://www.cian.ru/sale/flat/300350306/;Москва;sale;flat;2;22;2;72.5;31499000;Филевский парк;Береговой проезд;5к3;Фили;Фили Град
Сбербанк Капитал;developer;https://www.cian.ru/sale/flat/288177346/;Москва;sale;flat;2;7;2;112.8;118321582;Якиманка;Софийская набережная;36;Новокузнецкая;Резиденция 1864
Webster;real_estate_agent;https://www.cian.ru/sale/flat/304190769/;Москва;sale;flat;16;37;1;47.0;23000000;Западное Дегунино;Ильменский проезд;14к8;Селигерская;Селигер Сити
Пионер;developer;https://www.cian.ru/sale/flat/301460245/;Москва;sale;flat;7;39;2;36.0;27797933;Даниловский;;;Павелецкая;Хай Лайф ЖК
Dream Realty;real_estate_agent;https://www.cian.ru/sale/flat/302591225/;Москва;sale;flat;9;28;1;34.7;14800000;Богородское;Открытое шоссе;14Д;Бульвар Рокоссовского;Талисман на Рокоссовского
Sminex;developer;https://www.cian.ru/sale/flat/303125490/;Москва;sale;flat;11;14;2;67.1;39190000;Раменки;проспект Генерала Дорохова;39к2М;Ломоносовский проспект;Собрание клубных домов West Garden
ФОРА;real_estate_agent;https://www.cian.ru/sale/flat/302745451/;Москва;sale;flat;6;6;2;64.2;26000000;Хорошевский;2-й Хорошевский проезд;9К1;Беговая;
